group,product,vcoord,line,file,dims,n_vars,vars,time_start,time_end,n_time,title,time_coverage
lt,annual_cycle,depth,66,lt_annual_cycle_depth_66.nc,time=365; depth=50; distance=81,8,temperature; salinity; chlorophyll_a; sigma_t; potential_temperature; geostrophic_velocity; doppler_velocity_along; doppler_velocity_across,1167609600,1199059200,365.0,Annual Anomaly for CUGN Line 66,2008-01-01T00:00:00Z to 2014-01-01T00:00:00Z
lt,annual_cycle,depth,80,lt_annual_cycle_depth_80.nc,time=365; depth=50; distance=74,8,temperature; salinity; chlorophyll_a; sigma_t; potential_temperature; geostrophic_velocity; doppler_velocity_along; doppler_velocity_across,1167609600,1199059200,365.0,Annual Anomaly for CUGN Line 80,2007-01-01T00:00:00Z to 2014-01-01T00:00:00Z
lt,annual_cycle,depth,90,lt_annual_cycle_depth_90.nc,time=365; depth=50; distance=107,8,temperature; salinity; chlorophyll_a; sigma_t; potential_temperature; geostrophic_velocity; doppler_velocity_along; doppler_velocity_across,1167609600,1199059200,365.0,Annual Anomaly for CUGN Line 90,2007-01-01T00:00:00Z to 2014-01-01T00:00:00Z
lt,annual_cycle,sigma,66,lt_annual_cycle_sigma_66.nc,time=365; potential_density=21; distance=81,9,temperature; salinity; chlorophyll_a; sigma_t; potential_temperature; geostrophic_velocity; doppler_velocity_along; doppler_velocity_across; depth,2007-01-01,2007-12-31,365.0,Annual Anomaly for CUGN Line 66 on Potential Density,2008-01-01T00:00:00Z to 2014-01-01T00:00:00Z
lt,annual_cycle,sigma,80,lt_annual_cycle_sigma_80.nc,time=365; potential_density=21; distance=74,9,temperature; salinity; chlorophyll_a; sigma_t; potential_temperature; geostrophic_velocity; doppler_velocity_along; doppler_velocity_across; depth,2007-01-01,2007-12-31,365.0,Annual Anomaly for CUGN Line 80 on Potential Density,2007-01-01T00:00:00Z to 2014-01-01T00:00:00Z
lt,annual_cycle,sigma,90,lt_annual_cycle_sigma_90.nc,time=365; potential_density=21; distance=107,9,temperature; salinity; chlorophyll_a; sigma_t; potential_temperature; geostrophic_velocity; doppler_velocity_along; doppler_velocity_across; depth,2007-01-01,2007-12-31,365.0,Annual Anomaly for CUGN Line 90 on Potential Density,2007-01-01T00:00:00Z to 2014-01-01T00:00:00Z
lt,anomaly,depth,66,lt_anomaly_depth_66.nc,time=740; depth=50; distance=81,8,temperature; salinity; chlorophyll_a; sigma_t; potential_temperature; geostrophic_velocity; doppler_velocity_along; doppler_velocity_across,2007-01-01,2026-12-27,740.0,Interannual Anomaly for CUGN Line 66,2007-01-01T00:00:00Z to 2026-12-27T00:00:00Z
lt,anomaly,depth,80,lt_anomaly_depth_80.nc,time=777; depth=50; distance=74,8,temperature; salinity; chlorophyll_a; sigma_t; potential_temperature; geostrophic_velocity; doppler_velocity_along; doppler_velocity_across,2006-01-01,2026-12-27,777.0,Interannual Anomaly for CUGN Line 80,2006-01-01T00:00:00Z to 2026-12-27T00:00:00Z
lt,anomaly,depth,90,lt_anomaly_depth_90.nc,time=777; depth=50; distance=107,8,temperature; salinity; chlorophyll_a; sigma_t; potential_temperature; geostrophic_velocity; doppler_velocity_along; doppler_velocity_across,2006-01-01,2026-12-27,777.0,Interannual Anomaly for CUGN Line 90,2006-01-01T00:00:00Z to 2026-12-27T00:00:00Z
lt,anomaly,sigma,66,lt_anomaly_sigma_66.nc,time=740; potential_density=21; distance=81,9,depth; temperature; salinity; chlorophyll_a; sigma_t; potential_temperature; geostrophic_velocity; doppler_velocity_along; doppler_velocity_across,2007-01-01,2026-12-27,740.0,Interannual Anomaly for CUGN Line 66 on Potential Density,2007-01-01T00:00:00Z to 2026-12-27T00:00:00Z
